,STATION,DATE,TEMP,MAX,MIN,CELSIUS
171,RPM00098646,2017-06-21,82.58,90.68,,28.10
172,RPM00098646,2017-06-22,83.48,90.32,75.02,28.60
173,RPM00098646,2017-06-23,83.84,,,28.80
174,RPM00098646,2017-06-24,81.86,87.80,,27.70
175,RPM00098646,2017-06-25,85.10,,77.36,29.50
176,RPM00098646,2017-06-26,83.48,91.04,,28.60
177,RPM00098646,2017-06-27,83.48,91.40,,28.60
178,RPM00098646,2017-06-28,81.86,89.78,,27.70
179,RPM00098646,2017-06-29,83.84,92.30,75.92,28.80
180,RPM00098646,2017-06-30,81.50,88.52,,27.50
181,RPM00098646,2017-07-01,81.14,88.88,,27.30
182,RPM00098646,2017-07-02,80.42,87.80,76.28,26.90
183,RPM00098646,2017-07-03,80.78,86.36,75.92,27.10
184,RPM00098646,2017-07-04,81.14,88.88,75.92,27.30
185,RPM00098646,2017-07-05,83.30,89.78,77.00,28.50
186,RPM00098646,2017-07-06,82.58,,,28.10
187,RPM00098646,2017-07-07,81.68,86.18,75.38,27.60
188,RPM00098646,2017-07-08,81.68,89.60,,27.60
189,RPM00098646,2017-07-09,80.96,88.16,,27.20
190,RPM00098646,2017-07-10,81.86,,76.28,27.70
191,RPM00098646,2017-07-11,80.06,,77.00,26.70
192,RPM00098646,2017-07-12,81.50,88.16,76.82,27.50
193,RPM00098646,2017-07-13,81.32,,74.66,27.40
194,RPM00098646,2017-07-14,80.96,87.08,76.82,27.20
195,RPM00098646,2017-07-15,79.34,85.28,76.46,26.30
196,RPM00098646,2017-07-16,81.86,88.70,75.74,27.70
197,RPM00098646,2017-07-17,83.48,,75.92,28.60
198,RPM00098646,2017-07-18,81.32,88.88,,27.40
199,RPM00098646,2017-07-19,81.32,88.52,73.76,27.40
200,RPM00098646,2017-07-20,82.40,90.14,75.02,28.00
201,RPM00098646,2017-07-21,80.42,89.60,,26.90
202,RPM00098646,2017-07-22,80.06,88.34,,26.70
203,RPM00098646,2017-07-23,78.62,,74.84,25.90
204,RPM00098646,2017-07-24,83.48,,,28.60
205,RPM00098646,2017-07-25,82.40,,75.92,28.00
206,RPM00098646,2017-07-26,83.84,89.78,78.08,28.80
207,RPM00098646,2017-07-27,84.56,,78.62,29.20
208,RPM00098646,2017-07-28,85.64,93.20,79.70,29.80
209,RPM00098646,2017-07-29,85.46,92.84,77.90,29.70
210,RPM00098646,2017-07-30,85.28,91.76,79.70,29.60
211,RPM00098646,2017-07-31,86.18,93.02,80.24,30.10
212,RPM00098646,2017-08-01,85.46,92.12,80.24,29.70
213,RPM00098646,2017-08-02,84.74,91.40,,29.30
214,RPM00098646,2017-08-03,84.02,91.04,,28.90
215,RPM00098646,2017-08-04,82.04,90.68,,27.80
216,RPM00098646,2017-08-05,84.92,92.12,77.00,29.40
217,RPM00098646,2017-08-06,83.84,,,28.80
218,RPM00098646,2017-08-07,82.58,91.76,,28.10
219,RPM00098646,2017-08-08,83.84,91.40,75.92,28.80
220,RPM00098646,2017-08-09,84.02,92.84,76.10,28.90
221,RPM00098646,2017-08-10,84.02,92.84,76.64,28.90
222,RPM00098646,2017-08-11,84.02,,76.64,28.90
223,RPM00098646,2017-08-12,83.66,92.12,77.90,28.70
224,RPM00098646,2017-08-13,83.48,,77.72,28.60
225,RPM00098646,2017-08-14,83.84,,,28.80
226,RPM00098646,2017-08-15,83.48,88.34,76.64,28.60
227,RPM00098646,2017-08-16,81.32,86.18,76.10,27.40
228,RPM00098646,2017-08-17,82.22,88.34,,27.90
229,RPM00098646,2017-08-18,82.58,91.76,76.64,28.10
230,RPM00098646,2017-08-19,82.40,86.54,75.20,28.00
231,RPM00098646,2017-08-20,82.04,89.78,77.00,27.80
232,RPM00098646,2017-08-21,81.68,89.06,77.00,27.60
233,RPM00098646,2017-08-22,84.02,91.22,77.72,28.90
234,RPM00098646,2017-08-23,82.76,,,28.20
235,RPM00098646,2017-08-24,80.06,87.08,75.20,26.70
236,RPM00098646,2017-08-25,81.14,88.34,75.20,27.30
237,RPM00098646,2017-08-26,82.76,91.40,76.28,28.20
238,RPM00098646,2017-08-27,83.12,89.78,76.64,28.40
239,RPM00098646,2017-08-28,81.86,87.44,,27.70
240,RPM00098646,2017-08-29,83.66,,75.92,28.70
241,RPM00098646,2017-08-30,84.56,91.40,77.36,29.20
242,RPM00098646,2017-08-31,84.56,91.40,,29.20
243,RPM00098646,2017-09-01,84.74,91.04,78.80,29.30
244,RPM00098646,2017-09-02,84.56,93.38,,29.20
245,RPM00098646,2017-09-03,84.38,92.66,78.80,29.10
246,RPM00098646,2017-09-04,83.66,90.50,78.80,28.70
247,RPM00098646,2017-09-05,82.94,92.84,,28.30
248,RPM00098646,2017-09-06,83.84,91.58,75.02,28.80
249,RPM00098646,2017-09-07,84.92,91.40,75.38,29.40
250,RPM00098646,2017-09-08,83.66,90.68,,28.70
251,RPM00098646,2017-09-09,81.68,,76.10,27.60
252,RPM00098646,2017-09-10,81.14,,77.00,27.30
253,RPM00098646,2017-09-11,82.22,89.60,,27.90
254,RPM00098646,2017-09-12,84.74,90.32,78.80,29.30
255,RPM00098646,2017-09-13,82.94,91.04,,28.30
256,RPM00098646,2017-09-14,83.30,89.78,,28.50
257,RPM00098646,2017-09-15,81.68,89.60,77.00,27.60
258,RPM00098646,2017-09-16,82.04,90.86,,27.80
259,RPM00098646,2017-09-17,82.58,89.78,73.58,28.10
260,RPM00098646,2017-09-18,82.22,89.06,77.72,27.90
261,RPM00098646,2017-09-19,80.96,90.68,,27.20
262,RPM00098646,2017-09-20,80.96,87.98,75.56,27.20
263,RPM00098646,2017-09-21,80.42,89.60,75.92,26.90
264,RPM00098646,2017-09-22,79.16,89.24,,26.20
265,RPM00098646,2017-09-23,81.14,,75.20,27.30
266,RPM00098646,2017-09-24,81.68,88.16,76.10,27.60
267,RPM00098646,2017-09-25,77.54,83.48,74.48,25.30
268,RPM00098646,2017-09-26,82.58,90.32,,28.10
269,RPM00098646,2017-09-27,83.12,90.32,,28.40
270,RPM00098646,2017-09-28,81.86,88.70,76.28,27.70
271,RPM00098646,2017-09-29,79.88,,,26.60
272,RPM00098646,2017-09-30,81.50,87.98,75.56,27.50
273,RPM00098646,2017-10-01,83.48,,,28.60
274,RPM00098646,2017-10-02,82.58,90.32,,28.10
275,RPM00098646,2017-10-03,82.22,89.96,,27.90
276,RPM00098646,2017-10-04,82.58,88.16,77.00,28.10
277,RPM00098646,2017-10-05,83.48,90.32,76.64,28.60
278,RPM00098646,2017-10-06,81.68,88.88,,27.60
279,RPM00098646,2017-10-07,82.58,90.86,76.28,28.10
280,RPM00098646,2017-10-08,83.12,,77.36,28.40
281,RPM00098646,2017-10-09,82.58,90.14,77.72,28.10
282,RPM00098646,2017-10-10,83.30,89.96,76.28,28.50
283,RPM00098646,2017-10-11,85.64,92.84,78.08,29.80
284,RPM00098646,2017-10-12,82.94,,78.80,28.30
285,RPM00098646,2017-10-13,82.94,87.80,80.24,28.30
286,RPM00098646,2017-10-14,82.22,89.60,78.44,27.90
287,RPM00098646,2017-10-15,80.96,,,27.20
288,RPM00098646,2017-10-16,80.42,,,26.90
289,RPM00098646,2017-10-17,81.50,89.60,75.20,27.50
290,RPM00098646,2017-10-18,80.78,87.08,,27.10
291,RPM00098646,2017-10-19,79.88,82.76,76.28,26.60
292,RPM00098646,2017-10-20,81.86,85.10,76.82,27.70
293,RPM00098646,2017-10-21,82.58,,78.44,28.10
294,RPM00098646,2017-10-22,83.48,,,28.60
295,RPM00098646,2017-10-23,82.94,89.60,75.92,28.30
296,RPM00098646,2017-10-24,82.76,87.80,,28.20
297,RPM00098646,2017-10-25,80.60,86.54,,27.00
298,RPM00098646,2017-10-26,82.58,88.16,74.48,28.10
299,RPM00098646,2017-10-27,82.04,89.06,76.64,27.80
300,RPM00098646,2017-10-28,81.14,89.06,76.28,27.30
301,RPM00098646,2017-10-29,82.04,88.52,75.56,27.80
302,RPM00098646,2017-10-30,82.22,88.16,75.92,27.90
303,RPM00098646,2017-10-31,78.08,80.60,,25.60
304,RPM00098646,2017-11-01,81.14,88.16,76.46,27.30
305,RPM00098646,2017-11-02,83.48,,76.64,28.60
306,RPM00098646,2017-11-03,82.94,89.24,,28.30
307,RPM00098646,2017-11-04,83.84,88.88,77.18,28.80
308,RPM00098646,2017-11-05,84.74,89.06,80.24,29.30
309,RPM00098646,2017-11-06,83.12,88.70,,28.40
310,RPM00098646,2017-11-07,80.42,86.36,78.44,26.90
311,RPM00098646,2017-11-08,82.76,88.88,,28.20
312,RPM00098646,2017-11-09,82.22,88.70,77.72,27.90
313,RPM00098646,2017-11-10,83.48,,77.36,28.60
314,RPM00098646,2017-11-11,81.32,89.24,,27.40
315,RPM00098646,2017-11-12,80.78,88.16,,27.10
316,RPM00098646,2017-11-13,83.66,,77.54,28.70
317,RPM00098646,2017-11-14,83.48,90.32,,28.60
318,RPM00098646,2017-11-15,83.66,89.78,,28.70
319,RPM00098646,2017-11-16,79.88,85.82,,26.60
320,RPM00098646,2017-11-17,81.14,86.18,,27.30
321,RPM00098646,2017-11-18,82.04,88.88,76.64,27.80
322,RPM00098646,2017-11-19,83.66,88.70,77.90,28.70
