,STATION,DATE,TEMP,MAX,MIN,CELSIUS
1596,RP000098755,2017-05-16,81.50,88.52,75.56,27.50
1597,RP000098755,2017-05-17,82.94,90.32,76.10,28.30
1598,RP000098755,2017-05-18,82.76,92.30,75.20,28.20
1599,RP000098755,2017-05-19,84.38,90.86,77.00,29.10
1600,RP000098755,2017-05-20,83.84,93.56,,28.80
1601,RP000098755,2017-05-21,82.58,92.12,,28.10
1602,RP000098755,2017-05-22,83.12,91.94,75.02,28.40
1603,RP000098755,2017-05-23,84.92,,76.10,29.40
1604,RP000098755,2017-05-24,85.10,94.10,,29.50
1605,RP000098755,2017-05-25,84.20,93.20,,29.00
1606,RP000098755,2017-05-26,85.64,94.10,77.00,29.80
1607,RP000098755,2017-05-27,85.46,93.38,78.08,29.70
1608,RP000098755,2017-05-28,85.64,93.56,78.08,29.80
1609,RP000098755,2017-05-29,82.04,91.94,,27.80
1610,RP000098755,2017-05-30,82.76,92.30,75.20,28.20
1611,RP000098755,2017-05-31,84.02,94.10,76.46,28.90
1612,RP000098755,2017-06-01,83.12,93.92,,28.40
1613,RP000098755,2017-06-02,84.02,93.20,75.02,28.90
1614,RP000098755,2017-06-03,85.28,94.64,77.36,29.60
1615,RP000098755,2017-06-04,84.38,92.84,,29.10
1616,RP000098755,2017-06-05,80.24,92.30,,26.80
1617,RP000098755,2017-06-06,83.30,90.14,75.02,28.50
1618,RP000098755,2017-06-07,80.60,90.86,,27.00
1619,RP000098755,2017-06-08,78.80,87.44,,26.00
1620,RP000098755,2017-06-09,82.04,89.78,74.66,27.80
1621,RP000098755,2017-06-10,82.94,89.60,76.82,28.30
1622,RP000098755,2017-06-11,83.30,91.76,76.82,28.50
1623,RP000098755,2017-06-12,82.04,89.78,77.00,27.80
1624,RP000098755,2017-06-13,83.84,90.68,77.18,28.80
1625,RP000098755,2017-06-14,83.48,93.74,,28.60
1626,RP000098755,2017-06-15,81.68,,75.56,27.60
1627,RP000098755,2017-06-16,79.88,85.28,,26.60
1628,RP000098755,2017-06-17,82.04,93.02,,27.80
1629,RP000098755,2017-06-18,83.48,93.20,74.30,28.60
1630,RP000098755,2017-06-19,83.48,92.66,,28.60
1631,RP000098755,2017-06-20,81.86,91.40,,27.70
1632,RP000098755,2017-06-21,83.12,93.20,74.30,28.40
1633,RP000098755,2017-06-22,81.86,90.14,,27.70
1634,RP000098755,2017-06-23,82.94,91.76,74.30,28.30
1635,RP000098755,2017-06-24,80.96,90.50,73.58,27.20
1636,RP000098755,2017-06-25,83.12,93.74,74.84,28.40
1637,RP000098755,2017-06-26,83.30,93.74,74.66,28.50
1638,RP000098755,2017-06-27,83.66,93.38,75.56,28.70
1639,RP000098755,2017-06-28,84.56,94.82,75.20,29.20
1640,RP000098755,2017-06-29,80.96,91.94,,27.20
1641,RP000098755,2017-06-30,81.86,91.76,74.84,27.70
1642,RP000098755,2017-07-01,80.42,,74.84,26.90
1643,RP000098755,2017-07-02,80.78,88.52,75.20,27.10
1644,RP000098755,2017-07-03,81.86,89.24,75.02,27.70
1645,RP000098755,2017-07-04,80.42,85.64,,26.90
1646,RP000098755,2017-07-05,82.22,89.96,75.02,27.90
1647,RP000098755,2017-07-06,80.60,88.52,,27.00
1648,RP000098755,2017-07-07,81.32,88.16,74.48,27.40
1649,RP000098755,2017-07-08,82.58,91.76,74.30,28.10
1650,RP000098755,2017-07-09,81.32,90.86,74.30,27.40
1651,RP000098755,2017-07-10,82.04,,,27.80
1652,RP000098755,2017-07-11,80.78,86.90,75.20,27.10
1653,RP000098755,2017-07-12,81.50,92.48,,27.50
1654,RP000098755,2017-07-13,81.86,90.32,73.58,27.70
1655,RP000098755,2017-07-14,78.62,90.14,,25.90
1656,RP000098755,2017-07-15,79.88,85.64,74.30,26.60
1657,RP000098755,2017-07-16,82.58,92.30,75.20,28.10
1658,RP000098755,2017-07-17,81.86,88.52,76.10,27.70
1659,RP000098755,2017-07-18,81.68,88.70,76.10,27.60
1660,RP000098755,2017-07-19,81.50,91.04,,27.50
1661,RP000098755,2017-07-20,83.66,89.96,75.20,28.70
1662,RP000098755,2017-07-21,81.32,88.70,,27.40
1663,RP000098755,2017-07-22,77.72,83.66,,25.40
1664,RP000098755,2017-07-23,82.04,90.50,74.30,27.80
1665,RP000098755,2017-07-24,81.68,90.14,75.38,27.60
1666,RP000098755,2017-07-25,83.12,94.64,77.90,28.40
1667,RP000098755,2017-07-26,85.28,95.18,77.90,29.60
1668,RP000098755,2017-07-27,85.46,94.28,78.08,29.70
1669,RP000098755,2017-07-28,85.64,94.10,78.62,29.80
1670,RP000098755,2017-07-29,82.76,96.26,,28.20
1671,RP000098755,2017-07-30,83.66,94.82,76.10,28.70
1672,RP000098755,2017-07-31,82.04,92.84,,27.80
1673,RP000098755,2017-08-01,81.86,86.72,75.02,27.70
1674,RP000098755,2017-08-02,82.94,92.30,76.46,28.30
1675,RP000098755,2017-08-03,83.48,95.00,76.82,28.60
1676,RP000098755,2017-08-04,83.66,91.58,77.00,28.70
